idx,file,T,image_key,image_shape,qpos_key,qpos_shape,qpos_dim,action_key,action_shape,action_dim,num_datasets,status
79,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_80.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
80,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_81.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
81,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_82.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
82,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_83.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
83,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_84.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
84,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_85.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
85,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_86.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
86,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_87.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
87,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_88.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
88,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_89.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
89,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_9.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
